mep_id,parliamentary_term,start_date,end_date,political_group
119435,10,16-07-2024,,Group of the European People's Party (Christian Democrats)
119435,7,01-07-2013,30-06-2014,Group of the European People's Party (Christian Democrats)
119435,8,01-07-2014,13-10-2016,Group of the European People's Party (Christian Democrats)
