mep_id,parliamentary_term,start_date,end_date,political_group
28240,6,2004-07-20,2009-07-13,Group of the Greens/European Free Alliance
28240,7,2009-07-14,2014-06-30,Group of the Greens/European Free Alliance
28240,8,2014-07-01,2019-07-01,Group of the Greens/European Free Alliance
191693,10,2024-07-16,,Renew Europe Group
191693,8,2018-03-01,2019-07-01,Group of the Alliance of Liberals and Democrats for Europe
191693,9,2019-07-02,2024-07-15,Renew Europe Group
233862,10,2024-07-16,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
233862,9,2022-05-18,2024-07-15,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
2,10,1991-10-18,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
2,2,1986-01-01,1987-07-05,European Democratic Group
2,2,1987-07-06,1989-07-24,European Democratic Group
2,3,1991-10-18,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
190713,10,2024-07-16,,Group of the European People's Party (Christian Democrats)
190713,8,2017-11-30,2019-07-01,Group of the European People's Party (Christian Democrats)
190713,9,2019-07-02,2024-07-15,Group of the European People's Party (Christian Democrats)
34482,10,2005-09-26,2006-12-31,Group of the Alliance of Liberals and Democrats for Europe
34482,10,2007-01-01,2007-12-09,Group of the Alliance of Liberals and Democrats for Europe
34482,6,2005-09-26,2006-12-31,Group of the Alliance of Liberals and Democrats for Europe
34482,6,2007-01-01,2007-12-09,Group of the Alliance of Liberals and Democrats for Europe
1395,10,1989-07-25,1992-04-30,European Democratic Group
1395,10,1992-05-01,1994-05-02,Group of the European People's Party (Christian-Democratic Group)
1395,1,1979-07-17,1980-04-13,European Democratic Group
1395,1,1980-04-14,1982-03-08,European Democratic Group
1395,1,1982-03-09,1984-07-23,European Democratic Group
1395,2,1984-07-24,1989-07-24,European Democratic Group
1395,3,1989-07-25,1992-04-30,European Democratic Group
1395,3,1992-05-01,1994-05-02,Group of the European People's Party (Christian-Democratic Group)
96834,10,2009-07-14,2012-12-31,Group of the European People's Party (Christian Democrats)
96834,7,2009-07-14,2012-12-31,Group of the European People's Party (Christian Democrats)
124695,10,2014-07-01,2019-07-01,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124695,8,2014-07-01,2019-07-01,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1199,10,1994-07-19,1999-07-19,Group of the Party of European Socialists
1199,3,1989-07-25,1993-04-20,Socialist Group
1199,3,1993-04-21,1994-07-18,Group of the Party of European Socialists
1199,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
35,10,1999-07-20,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
35,3,1990-11-25,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
35,4,1994-07-19,1999-07-19,Group of the European People's Party (Christian-Democratic Group)
35,5,1999-07-20,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
1,10,2004-07-20,2004-08-30,Group of the European People's Party (Christian Democrats) and European Democrats
1,10,2004-08-31,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
1,3,1991-09-05,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
1,4,1994-07-19,1999-07-19,Group of the European People's Party (Christian-Democratic Group)
1,5,1999-07-20,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
1,6,2004-07-20,2004-08-30,Group of the European People's Party (Christian Democrats) and European Democrats
1,6,2004-08-31,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
1723,10,1984-07-24,1989-07-24,Communist and Allies Group
1723,1,1979-07-17,1984-07-23,Communist and Allies Group
1723,2,1984-07-24,1989-07-24,Communist and Allies Group
96898,10,2009-07-14,2014-06-30,Group of the European People's Party (Christian Democrats)
96898,7,2009-07-14,2014-06-30,Group of the European People's Party (Christian Democrats)
111011,10,2019-07-02,2020-01-31,European Conservatives and Reformists Group
111011,7,2011-12-01,2014-06-30,European Conservatives and Reformists Group
111011,8,2014-07-01,2019-07-01,European Conservatives and Reformists Group
111011,9,2019-07-02,2020-01-31,European Conservatives and Reformists Group
907,10,1992-06-15,1993-01-11,Group for the European United Left
907,10,1993-01-12,1993-04-20,Socialist Group
907,10,1993-04-21,1994-05-09,Group of the Party of European Socialists
907,1,1983-10-03,1984-07-23,Socialist Group
907,3,1992-06-15,1993-01-11,Group for the European United Left
907,3,1993-01-12,1993-04-20,Socialist Group
907,3,1993-04-21,1994-05-09,Group of the Party of European Socialists
693,10,1981-12-17,1984-07-23,Group of the European People's Party (Christian-Democratic Group)
693,1,1981-12-17,1984-07-23,Group of the European People's Party (Christian-Democratic Group)
807,10,1981-01-01,1981-10-18,Non-attached
807,1,1981-01-01,1981-10-18,Non-attached
2336,10,1998-11-11,1999-07-19,Group of the Party of European Socialists
2336,4,1998-11-11,1999-07-19,Group of the Party of European Socialists
955,10,1994-07-19,1995-01-05,Confederal Group of the European United Left
955,10,1995-01-06,1999-07-19,Confederal Group of the European United Left/Nordic Green Left
955,1,1981-11-02,1982-03-08,Communist and Allies Group
955,1,1982-03-09,1984-07-23,Communist and Allies Group
955,2,1984-07-24,1988-02-16,Communist and Allies Group
955,2,1988-02-17,1989-07-24,Communist and Allies Group
955,3,1989-07-25,1994-07-18,Left Unity
955,3,1992-01-16,1994-07-18,Left Unity
955,4,1994-07-19,1995-01-05,Confederal Group of the European United Left
955,4,1995-01-06,1999-07-19,Confederal Group of the European United Left/Nordic Green Left
204443,10,2020-02-01,2024-07-15,Non-attached Members
204443,9,2020-02-01,2024-07-15,Non-attached Members
831,10,1979-07-17,1984-07-23,European Democratic Group
831,1,1979-07-17,1984-07-23,European Democratic Group
1500,10,1984-07-24,1987-09-16,Non-attached
1500,10,1987-09-17,1987-11-17,Technical Coordination and Defence of Independent Groups and Members
1500,10,1987-11-18,1989-07-24,Non-attached
1500,2,1984-07-24,1987-09-16,Non-attached
1500,2,1987-09-17,1987-11-17,Technical Coordination and Defence of Independent Groups and Members
1500,2,1987-11-18,1989-07-24,Non-attached
28921,10,2004-07-20,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
28921,6,2004-07-20,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
2113,10,1994-07-19,1999-07-19,Group of the Party of European Socialists
2113,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
4306,10,2004-07-20,2009-07-13,Socialist Group in the European Parliament
4306,5,1999-07-20,2004-07-19,Group of the Party of European Socialists
4306,6,2004-07-20,2009-07-13,Socialist Group in the European Parliament
1889,10,1993-11-16,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
1889,3,1993-11-16,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
1692,10,1996-04-22,1999-07-19,Group of the European People's Party (Christian-Democratic Group)
1692,2,1986-08-19,1989-07-24,Liberal and Democratic Reformist Group
1692,3,1993-03-31,1994-07-18,Group of the European People's Party (Christian-Democratic Group)
1692,4,1996-04-22,1999-07-19,Group of the European People's Party (Christian-Democratic Group)
96989,10,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96989,7,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1078,10,1989-07-25,1991-11-20,The Green Group in the European Parliament
1078,10,1991-11-21,1994-07-18,Liberal and Democratic Reformist Group
1078,3,1989-07-25,1991-11-20,The Green Group in the European Parliament
1078,3,1991-11-21,1994-07-18,Liberal and Democratic Reformist Group
2098,10,1995-01-01,1996-11-10,Group of the Party of European Socialists
2098,4,1995-01-01,1996-11-10,Group of the Party of European Socialists
1182,10,1989-07-25,1991-05-31,The Green Group in the European Parliament
1182,10,1991-06-01,1991-11-12,The Green Group in the European Parliament
1182,3,1989-07-25,1991-05-31,The Green Group in the European Parliament
1182,3,1991-06-01,1991-11-12,The Green Group in the European Parliament
3,10,1994-07-19,1999-07-19,Group of the Party of European Socialists
3,3,1990-12-22,1993-04-20,Socialist Group
3,3,1993-04-21,1994-07-18,Group of the Party of European Socialists
3,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
4527,10,2004-07-20,2004-08-30,Group of the European People's Party (Christian Democrats) and European Democrats
4527,10,2004-08-31,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
4527,5,1999-07-20,2004-07-19,Group of the European People's Party (Christian Democrats) and European Democrats
4527,6,2004-07-20,2004-08-30,Group of the European People's Party (Christian Democrats) and European Democrats
4527,6,2004-08-31,2009-07-13,Group of the European People's Party (Christian Democrats) and European Democrats
28508,10,2019-07-02,2019-12-12,Group of the Greens/European Free Alliance
28508,6,2004-07-20,2009-07-13,Group of the Greens/European Free Alliance
28508,7,2009-07-14,2014-06-30,Group of the Greens/European Free Alliance
28508,8,2014-07-01,2019-07-01,Group of the Greens/European Free Alliance
28508,9,2019-07-02,2019-12-12,Group of the Greens/European Free Alliance
36396,10,2009-07-14,2010-10-05,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
36396,10,2010-10-06,2013-03-14,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
36396,6,2006-05-08,2008-06-25,Group of the Alliance of Liberals and Democrats for Europe
36396,6,2008-06-26,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
36396,7,2009-07-14,2010-10-05,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
36396,7,2010-10-06,2013-03-14,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4490,10,1999-07-20,2004-07-19,Group of the Party of European Socialists
4490,5,1999-07-20,2004-07-19,Group of the Party of European Socialists
996,10,1989-07-27,1989-10-25,The Green Group in the European Parliament
996,3,1989-07-27,1989-10-25,The Green Group in the European Parliament
4242,10,2004-07-20,2008-12-10,Socialist Group in the European Parliament
