vote_id,code,interinstitutional_file_no,label,date,committee_responsible
43005,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43006,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43007,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43008,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43009,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43010,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43011,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43012,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43013,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43014,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43015,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43016,A9-0193/2020,2020/2078/INI,Economic policies of the euro area 2020,2020-10-21,Economic and Monetary Affairs
43017,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43018,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43019,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43020,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43021,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43022,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43023,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43024,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43025,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43026,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43027,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43028,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43029,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43030,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43031,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43032,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43033,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43034,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43035,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43036,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43037,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43038,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43039,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43040,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43041,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43042,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43043,A9-0183/2020,2020/2079/INI,Employment and social policies of the euro area 2020,2020-10-21,Employment and Social Affairs
43044,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43045,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43046,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43047,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43048,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43049,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43050,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43051,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43052,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43053,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43054,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43055,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43056,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43057,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43058,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43059,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43060,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43061,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43062,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43063,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43064,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43065,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43066,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43067,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43068,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43069,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43070,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43071,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43072,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43073,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43074,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43075,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43076,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43077,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43078,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43079,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43080,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43081,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43082,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43083,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43084,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43085,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43086,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43087,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43088,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43089,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43090,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43091,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43092,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43093,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43094,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43095,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43096,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43097,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43098,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43099,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43100,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43101,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43102,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43103,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43104,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43105,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43106,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43107,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43108,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43109,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43110,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43111,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43112,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43113,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43114,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43115,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43116,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43117,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43118,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43119,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43120,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43121,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43122,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43123,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43124,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43125,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43126,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43127,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43128,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43129,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43130,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43131,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43132,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-21,"Environment, Public Health and Food Safety"
43133,A9-0179/2020,2020/2006/INL,Deforestation,2020-10-22,"Environment, Public Health and Food Safety"
43134,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43135,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43136,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43137,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43138,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43139,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43140,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43141,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43142,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43143,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43144,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43145,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43146,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43147,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43148,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43149,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43150,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43151,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43152,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43153,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43154,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43155,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43156,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43157,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43158,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43159,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43160,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43161,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43162,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43163,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43164,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43165,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43166,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43167,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43168,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43169,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43170,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43171,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43172,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-22,Women's Rights and Gender Equality
43173,A9-0145/2020,2019/2167/INI,Gender Equality in EU's foreign and security policy,2020-10-23,Women's Rights and Gender Equality
43174,A9-0175/2020,2020/0051/COD,Introducing exceptional trade measures for countries and territories participating in or linked to the European Union's Stabilisation and Association process,2020-11-11,International Trade
43175,B9â0346/2020,2020/2836/RPS,"Objection pursuant to Rule 112: Genetically modified maize MON 87427 Ã MON 89034 Ã MIR162 Ã NK603 and genetically modified maize combining two or three of the single events MON 87427, MON 89034, MIR162 and NK603",2020-11-11,"Environment, Public Health and Food Safety"
43176,B9â0349/2020,2020/2838/RPS,Objection pursuant to Rule 112: Genetically modified soybean SYHT0H2 (SYN-ÃÃÃH2-5),2020-11-11,"Environment, Public Health and Food Safety"
43177,B9-0347/2020,2020/2837/RSP,"Objection pursuant to Rule 112: Genetically modified maize MON 87427 Ã MON 87460 Ã MON 89034 Ã MIR162 Ã NK603 and genetically modified maize combining two, three or four of the single events MON 87427, MON 87460, MON 89034, MIR162 and NK603",2020-11-11,"Environment, Public Health and Food Safety"
43178,A9-0180/2020,2019/0226/NLE,EU/Senegal Fisheries Partnership Agreement: implementation of the Agreement. Protocol,2020-11-11,Fisheries
43179,A9-0182/2020,2019/0226M/NLE,EU/Senegal Fisheries Partnership Agreement: implementation of the Agreement. Protocol (Resolution),2020-11-11,Fisheries
43180,A9-0185/2020,2020/0002/NLE,EU/Seychelles Sustainable Fisheries Partnership Agreement and Implementation. Protocol (2020-2026),2020-11-11,Fisheries
43181,A9-0199/2020,2020/0089/NLE,Agreement between the European Union and the government of the People's Republic of China,2020-11-11,International Trade
43182,A9-0202/2020,2020/0089M/NLE,Agreement between the European Union and the government of the People's Republic of China,2020-11-11,International Trade
43183,A9-0200/2020,2020/0165/CNS,Common system of value added tax: identification of taxable persons in Northern Ireland,2020-11-11,Economic and Monetary Affairs
43184,A9-0093/2020,2019/0246/COD,"Introduction of capacity limits for Eastern Baltic cod, data collection and control measures in the Baltic Sea and permanent cessation for fleets fishing for Eastern Baltic cod",2020-11-11,Fisheries
43185,A9-0128/2020,2019/0188/COD,Enhanced cooperation between Public Employment Services (PES),2020-11-11,Employment and Social Affairs
43186,0,2020/1998/BUD,Budget 2021 - technical adjustments,2020-11-12,Budgets
43187,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43188,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43189,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43190,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43191,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43192,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43193,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43194,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43195,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43196,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43197,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43198,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43199,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43200,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43201,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43202,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43203,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43204,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43205,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43206,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43207,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43208,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43209,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43210,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43211,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43212,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43213,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43214,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43215,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43216,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43217,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43218,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43219,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43220,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43221,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43222,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43223,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43224,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43225,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43226,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43227,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43228,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43229,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43230,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43231,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43232,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43233,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43234,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43235,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43236,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43237,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43238,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43239,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43240,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43241,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43242,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43243,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43244,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43245,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43246,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43247,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43248,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43249,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43250,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43251,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43252,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43253,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43254,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43255,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43256,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43257,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43258,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43259,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43260,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43261,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43262,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43263,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
43264,0,2020/1998/BUD,Draft general budget of the European Union for 2021 - all sections,2020-11-12,Budgets
